"subId","estimatedValue","debtAmount","independentValuation","province","postalCode","maxBid"
"SUB-AT-2020-19R1586001170",20687.26,"",20687.26,"lugo","27792",6000
"SUB-AT-2020-19R1586001214",110910.68,"",110910.68,"pontevedra","36300",104000
"SUB-AT-2020-19R1586001215",57810.14,"",57810.14,"orense","32003",17000
"SUB-AT-2020-19R1586001224",8980,"",8980,"a_coruna","15960",15000
"SUB-AT-2020-19R1586001226",13059.33,"",13059.33,"orense","32001",9000
"SUB-AT-2020-19R1586001228",312480,"",312480,"madrid","28027",214000
"SUB-AT-2020-19R1586001232",125960.38,"",125960.38,"pontevedra","36001",56000
"SUB-AT-2020-19R1586001236",7683.93,"",7683.93,"a_coruna","15930",4000
"SUB-AT-2020-19R1586001240",98176.64,"",119294.03,"pontevedra","36340",66000
"SUB-AT-2020-19R1586001243",107897.9,"",107897.9,"lugo","27800",16000
"SUB-AT-2020-19R2886001592",12467.87,"",12467.87,"jaen","23790",3000
"SUB-AT-2020-19R2886001616",38229.61,"",41911.54,"granada","18630",1000
"SUB-AT-2020-19R2886001617",20461.12,"",24143.05,"granada","18630",500
"SUB-AT-2020-19R2886001637",17440.75,"",17440.75,"valladolid","47008",8000
"SUB-AT-2020-19R2886001642",9763,"",9763,"madrid","28330",0
"SUB-AT-2020-19R2886001643",15237,"",15237,"madrid","28330",0
"SUB-AT-2020-19R2886001698",16005,"",16005,"madrid","28005",24500
"SUB-AT-2020-19R2886001706",14121.33,"",14121.33,"madrid","28029",13000
"SUB-AT-2020-19R2886001724",201575.92,"",279081.86,"guadalajara","19209",0
"SUB-AT-2020-19R2886001728",62945.4,"",62945.4,"toledo","45300",22000
"SUB-AT-2020-19R2886001729",29004.64,"",29004.64,"toledo","45300",10000
"SUB-AT-2020-19R2886001731",43400.81,"",81447.19,"guadalajara","19208",14000
"SUB-AT-2020-19R2886001735",11314.94,"",11314.94,"almeria","04738",2000
"SUB-AT-2020-19R2886001737",10057.17,"",10057.17,"malaga","29600",4500
"SUB-AT-2020-19R2886001739",11385,"",11385,"madrid","28001",17000
"SUB-AT-2020-19R2886001740",618782.4,"",618782.4,"madrid","28001",186000
"SUB-AT-2020-19R2886001741",11385,"",11385,"madrid","28001",16500
"SUB-AT-2020-19R2886001742",11385,"",11385,"madrid","28001",16000
"SUB-AT-2020-19R2886001743",11385,"",11385,"madrid","28001",15500
"SUB-AT-2020-19R2886001744",668592,"",668592,"madrid","28037",280000
"SUB-AT-2020-19R2886001748",1803900.1,"",1803900.1,"madrid","28830",320000
"SUB-AT-2020-19R2886001749",10465.89,"",10465.89,"toledo","45200",3500
"SUB-AT-2020-19R2886001750",10465.89,"",10465.89,"toledo","45200",3500
"SUB-AT-2020-19R2886001751",10465.89,"",10465.89,"toledo","45200",4000
"SUB-AT-2020-19R2886001754",13811.32,"",13811.32,"cuenca","16004",8500
"SUB-AT-2020-19R2886001755",9561.69,"",9561.69,"cuenca","16004",6000
"SUB-AT-2020-19R2886001756",356287.36,"",356287.36,"madrid","28760",186000
"SUB-AT-2020-19R2886001757",118762.45,"",118762.45,"madrid","28120",66000
"SUB-AT-2020-19R2886001761",19706.4,"",19706.4,"madrid","28945",10000
"SUB-AT-2020-19R2886001765",121270.8,"",121270.8,"toledo","45127",16000
"SUB-AT-2020-19R2886001768",63920,"",63920,"madrid","28341",110000
"SUB-AT-2020-19R2886001769",7920,"",7920,"madrid","28340",11000
"SUB-AT-2020-19R2886001774",16423.41,"",16423.41,"alicante","03640",22500
"SUB-AT-2020-19R2886001777",48109.26,"",48109.26,"alicante","03640",28000
"SUB-AT-2020-19R2886001778",1133.04,"",1133.04,"alicante","03640",1400
"SUB-AT-2020-19R2886001779",12854.57,"",12854.57,"alicante","03640",6000
"SUB-AT-2020-19R2886001781",8377.85,"",8377.85,"alicante","03640",5000
"SUB-AT-2020-19R2886001782",1666.8,"",1666.8,"alicante","03640",1800
"SUB-AT-2020-19R2886001783",1076.76,"",1076.76,"alicante","03640",400
"SUB-AT-2020-19R2886001784",8338.35,"",8338.35,"alicante","03640",7000
"SUB-AT-2020-19R2886001788",7053.75,"",7053.75,"madrid","28400",6000
"SUB-AT-2020-19R2886001790",54107.04,"",54107.04,"toledo","45313",17000
"SUB-AT-2020-19R2886001791",50955.84,"",50955.84,"toledo","45313",15000
"SUB-AT-2020-19R2886001793",65404.56,"",65404.56,"toledo","45313",12000
"SUB-AT-2020-19R2886001794",71438.64,"",71438.64,"toledo","45313",24000
"SUB-AT-2020-19R2886001795",73821.36,"",73821.36,"toledo","45313",24000
"SUB-AT-2020-19R2886001796",60453.6,"",60453.6,"toledo","45313",16000
"SUB-AT-2020-19R2886001798",64367.76,"",64367.76,"toledo","45313",18000
"SUB-AT-2020-19R2886001799",65180.4,"",65180.4,"toledo","45313",10000
"SUB-AT-2020-19R2886001800",76958.76,"",76958.76,"toledo","45313",22000
"SUB-AT-2020-19R2886001801",68312.28,"",68312.28,"toledo","45313",12000
"SUB-AT-2020-19R2886001802",59665.8,"",59665.8,"toledo","45313",18000
"SUB-AT-2020-19R2886001813",15437.5,"",15437.5,"madrid","28935",11000
"SUB-AT-2020-19R2886001818",89529.9,"",89529.9,"madrid","28400",38000
"SUB-AT-2020-19R2886001822",337612.8,"",337612.8,"madrid","28231",44000
"SUB-AT-2020-19R2886001824",41113.13,"",41113.13,"murcia","30205",36000
"SUB-AT-2020-19R2896001043",767226.59,"",767226.59,"malaga","29004",384000
"SUB-AT-2020-19R2986001182",41032.8,"",88841.76,"malaga","29730",71000
"SUB-AT-2020-19R2986001185",145884.37,"",145884.37,"malaga","29009",160000
"SUB-AT-2020-19R2986001186",139545.34,"",139545.34,"malaga","29009",154000
"SUB-AT-2020-19R2986001197",302937.46,"",832977.75,"cadiz","11360",152000
"SUB-AT-2020-19R2986001200",22327.08,"",46769.4,"malaga","29680",18500
"SUB-AT-2020-19R2986001205",5658.99,"",5658.99,"malaga","29610",2000
"SUB-AT-2020-19R2986001206",4535.47,"",4535.47,"malaga","29610",2400
"SUB-AT-2020-19R2986001207",2426.38,"",2426.38,"malaga","29610",800
"SUB-AT-2020-19R2986001209",2773,"",2773,"malaga","29610",1000
"SUB-AT-2020-19R2986001210",4506.14,"",4506.14,"malaga","29610",1800
"SUB-AT-2020-19R2986001211",1386.5,"",1386.5,"malaga","29610",700
"SUB-AT-2020-19R2986001214",16419.07,"",16419.07,"malaga","29610",17000
