"subId","estimatedValue","debtAmount","independentValuation","longitude","latitude","maxBid"
"SUB-JA-2019-142068",321180,155600.61,0,2.0714223,41.5775971,160590
"SUB-JA-2019-142078",5060,2143.17,5060,-4.2435893,43.3377822,10322.4
"SUB-JA-2019-142082",117400,117400,0,-0.1799368,38.9744946,105660
"SUB-JA-2019-142089",59700,1680,59700,-0.6204164999999999,41.4596009,8358
"SUB-JA-2019-142101",197200,69799.99,0,-0.1448182,38.5637027,98600
"SUB-JA-2019-142102",108750,59085.08,108750,-6.453913600000001,38.4440634,56550
"SUB-JA-2019-142108",233079,93765.55,0,-3.753666299999999,40.1766835,191124.78
"SUB-JA-2019-142126",0,51641.47,0,-3.5306765,37.1912728,52691.08
"SUB-JA-2019-142133",318406.9,136143.71,0,-7.297661700000001,37.2327341,0
"SUB-JA-2019-142148",173880,91983.28,0,-3.644582,40.422369,97572.8
"SUB-JA-2019-142155",53070,39470.57,53070,-5.7826597,40.3785731,1061.4
"SUB-JA-2019-142166",188876,131295.4,188876,-5.6484241,43.3613552,0
"SUB-JA-2019-142171",181128.19,129434.26,0,-6.0785104,37.4719272,141279.84
"SUB-JA-2019-142185",5946.52,12000,0,-3.6471162,42.3605822,3092.18
"SUB-JA-2019-142200",354723.35,267283.69,0,-3.6471162,40.4604421,503906.66
"SUB-JA-2019-142244",160812.81,19599.89,160812.81,-0.1869644,41.0795661,115000
"SUB-JA-2019-142245",139566.64,8244.99,0,-0.4333706000000001,39.1511421,22330.64
"SUB-JA-2019-142253",60315.38,34725.02,0,-0.8436885,38.1077191,30157.5
"SUB-JA-2019-142258",285577.65,183356.95,0,-3.7054373,40.3848083,103007.9
"SUB-JA-2020-117441",200357.23,90540.83,0,-0.9629523,37.9109512,0
"SUB-JA-2020-140844",20992.4,1632.11,0,-0.4714694,39.4518434,14274.9
"SUB-JA-2020-141584",93480,5246.26,0,-1.0993366,38.0077579,48609.86
"SUB-JA-2020-142278",20970.4,11160.98,0,-16.4553111,28.134125,30616.2
"SUB-JA-2020-142282",92546.8,60545.8,0,2.7730027,42.1189331,75000.01
"SUB-JA-2020-142286",63106.27,15866.3,0,0.08869479999999999,38.8466543,69466.6
"SUB-JA-2020-142301",203667.53,48521.84,0,-6.3744687,39.4657396,52953.55
"SUB-JA-2020-142306",109157.47,62615.99,115270,-5.3442408,42.8634267,6000
"SUB-JA-2020-142313",32601.56,13653.34,0,-16.4140868,28.4799986,33253.53
"SUB-JA-2020-142319",234995,182323.53,234995,-3.4750836,40.40467,61098.7
"SUB-JA-2020-142334",831588,581865.88,0,2.1523914,41.378633,498952.8
"SUB-JA-2020-142337",147300,41699.05,0,-2.4900943,42.4553191,88380
